City,Age,% New Sessions,Sessions,Bounce Rate,Avg. Session Duration,Goal 1 Completions,Goal 1 Conversion Rate,Pages / Session
(not set),35-44,43.75,16,62.5,53.5,0,0,1.688
London,55-64,77.778,36,47.222,92.472,0,0,2.333
London,45-54,70.909,165,53.939,135.079,2,1.212,1.915
Croydon,45-54,65.854,82,48.78,167.707,1,1.22,2.049
London,35-44,69.014,426,53.756,119.549,12,2.817,1.962
London,25-34,66.623,758,59.235,103.788,22,2.902,1.856
Croydon,35-44,64.216,204,43.137,158.848,6,2.941,2.284
Croydon,55-64,74.194,31,51.613,62.323,1,3.226,1.677
Croydon,18-24,69.767,86,43.023,101.384,3,3.488,2.14
(not set),25-34,75,24,62.5,75.542,1,4.167,1.583
Croydon,25-34,58.194,299,47.157,198.344,15,5.017,2.261
London,18-24,75.484,155,51.613,172.226,8,5.161,2.187
London,65+,85.714,14,71.429,116.857,1,7.143,1.286
Hove,35-44,75,12,16.667,69.417,1,8.333,2.167